Date,Status,Quantity
26/11/2022 09:25:45,Out of stock,0
26/11/2022 09:34:14,Out of stock,0
26/11/2022 10:29:01,Out of stock,0
26/11/2022 10:39:19,Out of stock,0
26/11/2022 10:48:42,Out of stock,0
26/11/2022 11:08:32,Out of stock,0
26/11/2022 11:22:55,,1
26/11/2022 11:34:15,Out of stock,0
26/11/2022 11:48:40,Out of stock,0
26/11/2022 12:18:45,Out of stock,0
26/11/2022 13:36:42,Out of stock,0
26/11/2022 13:48:40,,1
26/11/2022 14:09:06,,1
26/11/2022 14:34:02,Out of stock,0
26/11/2022 14:48:39,Out of stock,0
26/11/2022 15:27:27,,1
26/11/2022 16:13:42,Out of stock,0
26/11/2022 16:53:39,Out of stock,0
26/11/2022 17:25:46,Out of stock,0
26/11/2022 17:34:44,Out of stock,0
26/11/2022 17:48:29,Out of stock,0
26/11/2022 18:12:38,Out of stock,0
